step,loss,learning_rate,gpu_memory_mb,time_per_step_ms
0,0.6931467056274414,5e-05,0.0,54.04520034790039
1,0.6931468844413757,5e-05,0.0,45.636653900146484
2,0.6931466460227966,5e-05,0.0,43.96963119506836
3,0.6931467056274414,5e-05,0.0,44.553279876708984
4,0.6931467056274414,5e-05,0.0,45.237064361572266
5,0.693146824836731,5e-05,0.0,44.40498352050781
6,0.6931471228599548,5e-05,0.0,44.97480392456055
7,0.6931470632553101,5e-05,0.0,44.931650161743164
8,0.6931467652320862,5e-05,0.0,47.40118980407715
9,0.6931470036506653,5e-05,0.0,43.84112358093262
10,0.693146824836731,5e-05,0.0,50.39215087890625
11,0.693146824836731,5e-05,0.0,119.72308158874512
12,0.6931470632553101,5e-05,0.0,47.43528366088867
13,0.6931464672088623,5e-05,0.0,54.0163516998291
14,0.6931470632553101,5e-05,0.0,45.42398452758789
15,0.6931470632553101,4.999996915749259e-05,0.0,73.7919807434082
16,0.6931456327438354,4.999996915749259e-05,0.0,48.4614372253418
17,0.6931455135345459,4.999996915749259e-05,0.0,44.1746711730957
18,0.6931453943252563,4.999996915749259e-05,0.0,46.09537124633789
19,0.6931451559066772,4.999996915749259e-05,0.0,43.90764236450195
20,0.6931452751159668,4.999996915749259e-05,0.0,43.213605880737305
21,0.6931453347206116,4.999996915749259e-05,0.0,47.42860794067383
22,0.6931453347206116,4.999996915749259e-05,0.0,43.3039665222168
23,0.6931450366973877,4.999996915749259e-05,0.0,48.04873466491699
24,0.6931453943252563,4.999996915749259e-05,0.0,42.91653633117676
25,0.6931451559066772,4.999996915749259e-05,0.0,44.40140724182129
26,0.6931455135345459,4.999996915749259e-05,0.0,44.57402229309082
27,0.693145751953125,4.999996915749259e-05,0.0,43.09582710266113
28,0.6931455135345459,4.999996915749259e-05,0.0,43.62893104553223
29,0.6931452751159668,4.999996915749259e-05,0.0,44.48843002319336
30,0.693145751953125,4.999996915749259e-05,0.0,47.623634338378906
31,0.6931458711624146,4.999987663004646e-05,0.0,57.68585205078125
32,0.6931439638137817,4.999987663004646e-05,0.0,45.17102241516113
33,0.6931440234184265,4.999987663004646e-05,0.0,42.40608215332031
34,0.6931442618370056,4.999987663004646e-05,0.0,48.00105094909668
35,0.6931437253952026,4.999987663004646e-05,0.0,43.1981086730957
36,0.6931443214416504,4.999987663004646e-05,0.0,48.682212829589844
37,0.6931440830230713,4.999987663004646e-05,0.0,43.64442825317383
38,0.6931436061859131,4.999987663004646e-05,0.0,44.96264457702637
39,0.6931442022323608,4.999987663004646e-05,0.0,48.3851432800293
