dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,latency_s,git_hash
UNSW-NB15,0.4,0.007902051967834542,0.048452917432611126,40,0,40,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,15.542020100052468,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.5,0.11705549277667959,0.15698760411102677,32,0,32,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,13.907568300026469,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.55,0.11695671610548887,0.15689185678732426,31,0,31,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,14.171996400109492,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.6,0.007933359933712166,0.047723814565715485,34,0,34,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,13.858929099980742,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.65,0.00775210585293383,0.048527907259184475,42,0,42,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,14.069404999958351,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.7,0.11709231805273629,0.1572357164867616,38,0,38,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,14.1220605999697,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.75,0.007825760431453912,0.04787849395833332,36,0,36,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,13.94593329995405,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.8,0.11658219628520224,0.15728712237390016,47,0,47,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,13.94827989989426,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.9,0.008042093302626814,0.047792761969724776,33,0,33,1.0,0.14528138935565948,0.14440074563026428,0.09999999999999999,14.180842600064352,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.4,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.400827100034803,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.5,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.33719370001927,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.55,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.20084099995438,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.6,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.569647999946028,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.65,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.53234519995749,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.7,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.347335499944165,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.75,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.376571299973875,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.8,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.314672200009227,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.9,0.040422805031111626,0.058465613770764376,251,0,251,1.0,0.125,0.125,0.09999999999999999,11.348886399995536,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.4,1.0,1.0,1,0,1,1.0,0.133239284157753,0.12927556037902832,0.09999999999999998,0.09963599999900907,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.5,1.0,1.0,1,0,1,1.0,0.133239284157753,0.12927556037902832,0.09999999999999998,0.10353769990615547,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
