dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,n_hgnn_noise_points,singleton_fraction,mean_uf_cluster_size,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,use_uf_refinement,noise_point_strategy,skip_gate_sweep,latency_s,git_hash
NSL-KDD_baseline,0.4,0.21471082029560662,0.2966747563291918,707,4,703,1790,0.9658605974395448,2.745376955903272,0.193,0.7827173471450806,0.8422449827194214,0.5827173471450806,True,zero,False,25.782351000001654,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.5,0.20851116747619197,0.29534816921544066,777,4,773,1790,0.9547218628719275,2.7283311772315653,0.2109,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,25.618814600049518,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.55,0.2047187433955338,0.2932810915659977,807,4,803,1790,0.9551681195516812,2.734744707347447,0.2196,0.7827173471450806,0.8422449827194214,0.5827173471450804,True,zero,False,26.015501499990933,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.6,0.20516757646762593,0.29759841911078805,811,4,807,1790,0.9516728624535316,2.8215613382899627,0.2277,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,25.942371499957517,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.65,0.2036998200285278,0.2968786990697038,819,4,815,1790,0.9496932515337423,2.812269938650307,0.2292,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,25.643877700087614,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.7,0.20381588132624956,0.2963787470042241,835,4,831,1790,0.9470517448856799,2.8303249097472922,0.2352,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,26.109295399975963,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.75,0.20535753556722705,0.297646582379289,842,4,838,1790,0.9451073985680191,2.8520286396181382,0.239,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,26.72778409998864,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.8,0.20569636049102177,0.2986822370227235,854,4,850,1790,0.9435294117647058,2.8717647058823528,0.2441,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,26.273311399971135,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.9,0.21693609373760123,0.3076925018820252,876,4,872,1790,0.9403669724770642,3.0194954128440368,0.2633,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,26.12840069993399,5e568a20a301ade3d9c3911e1b091cb5799313ea
TON_IoT,0.4,0.0,0.0,1,1,0,0,,,0.0,1.0,1.0,,True,zero,True,15.346491000032984,5e568a20a301ade3d9c3911e1b091cb5799313ea
