dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,skip_gate_sweep,latency_s,git_hash
UNSW-NB15,0.4,0.35405328563885535,0.4290653172066053,1855,5,1850,0.185,0.7894246578216553,0.8255156874656677,0.5894246578216553,False,11.661788199911825,6b87a3df3411ac47445326dc76794df9d419afc0
UNSW-NB15,0.5,0.3479730926008287,0.42390706795106586,1951,5,1946,0.1946,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,11.590435500023887,6b87a3df3411ac47445326dc76794df9d419afc0
UNSW-NB15,0.55,0.3442432129321929,0.41838481669937067,2079,5,2074,0.2074,0.7894246578216553,0.8255156874656677,0.5894246578216553,False,11.61188460001722,6b87a3df3411ac47445326dc76794df9d419afc0
UNSW-NB15,0.6,0.3428643680166543,0.41542891432386325,2129,5,2124,0.2124,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,11.630619199946523,6b87a3df3411ac47445326dc76794df9d419afc0
UNSW-NB15,0.65,0.34497286359940366,0.41549350525795925,2187,5,2182,0.2182,0.7894246578216553,0.8255156874656677,0.5894246578216551,False,11.618438099976629,6b87a3df3411ac47445326dc76794df9d419afc0
UNSW-NB15,0.7,0.3399146365708518,0.4120496077756713,2276,5,2271,0.2271,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,12.317076399922371,6b87a3df3411ac47445326dc76794df9d419afc0
UNSW-NB15,0.75,0.33940279302485044,0.41123718067129683,2334,5,2329,0.2329,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,12.002433700021356,6b87a3df3411ac47445326dc76794df9d419afc0
UNSW-NB15,0.8,0.3389104931197462,0.4083048752436582,2437,5,2432,0.2432,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,11.793851400027052,6b87a3df3411ac47445326dc76794df9d419afc0
UNSW-NB15,0.9,0.3335294626264444,0.402613053136878,2663,5,2658,0.2658,0.7894246578216553,0.8255156874656677,0.5894246578216551,False,11.746682800003327,6b87a3df3411ac47445326dc76794df9d419afc0
TON_IoT,0.5,0.0,0.0,1,1,0,0.0,1.0,1.0,,True,9.561371500021778,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.4,-0.1018074511250461,0.10325201604468025,24,1,23,0.4745762711864407,0.5166873335838318,0.0,0.3166873335838318,False,0.04452369990758598,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.5,-0.1018074511250461,0.10325201604468025,24,1,23,0.4745762711864407,0.5166873335838318,0.0,0.3166873335838318,False,0.04412660002708435,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.55,-0.1018074511250461,0.10325201604468025,24,1,23,0.4745762711864407,0.5166873335838318,0.0,0.3166873335838318,False,0.05353819997981191,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.6,-0.10238534334419502,0.10455073641629319,24,1,23,0.4915254237288136,0.5166873335838318,0.0,0.31668733358383183,False,0.04670299997087568,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.65,-0.10238534334419502,0.10455073641629319,24,1,23,0.4915254237288136,0.5166873335838318,0.0,0.31668733358383183,False,0.04201010009273887,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.7,-0.10238534334419502,0.10455073641629319,24,1,23,0.4915254237288136,0.5166873335838318,0.0,0.31668733358383183,False,0.04517870000563562,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.75,-0.10247168382143368,0.10594703962595942,24,1,23,0.5084745762711864,0.5166873335838318,0.0,0.31668733358383183,False,0.04495600005611777,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.8,-0.10247168382143368,0.10594703962595942,24,1,23,0.5084745762711864,0.5166873335838318,0.0,0.31668733358383183,False,0.04994400008581579,6b87a3df3411ac47445326dc76794df9d419afc0
Linux_APT,0.9,-0.10247168382143368,0.10594703962595942,24,1,23,0.5084745762711864,0.5166873335838318,0.0,0.31668733358383183,False,0.05064260005019605,6b87a3df3411ac47445326dc76794df9d419afc0
NSL-KDD,0.4,0.21471082029560662,0.2966747563291918,707,4,703,0.193,0.7827173471450806,0.8422449827194214,0.5827173471450806,False,16.17297630000394,6b87a3df3411ac47445326dc76794df9d419afc0
NSL-KDD,0.5,0.20851116747619197,0.29534816921544066,777,4,773,0.2109,0.7827173471450806,0.8422449827194214,0.5827173471450805,False,16.03139639995061,6b87a3df3411ac47445326dc76794df9d419afc0
NSL-KDD,0.55,0.2047187433955338,0.2932810915659977,807,4,803,0.2196,0.7827173471450806,0.8422449827194214,0.5827173471450804,False,16.09261549997609,6b87a3df3411ac47445326dc76794df9d419afc0
