dataset,optimal_gate,optimal_ari,baseline_ari_gate06,ari_delta_vs_baseline,pct_uf_routed_at_optimal,n_clusters_at_optimal
UNSW-NB15,0.4,0.3540532856388553,0.3428643680166543,0.011188917622200978,0.185,1855
Linux_APT,0.4,-0.1018074511250461,-0.102385343344195,0.00057789221914889,0.4745762711864407,24
NSL-KDD,0.9,0.2169360937376012,0.2051675764676259,0.011768517269975298,0.2633,876
