step,loss,learning_rate,gpu_memory_mb,time_per_step_ms
0,0.6937044262886047,5e-05,0.0,28.517484664916992
1,0.6936836838722229,5e-05,0.0,20.961761474609375
2,0.6937133073806763,5e-05,0.0,16.098976135253906
3,0.6937039494514465,5e-05,0.0,18.56064796447754
4,0.6937310695648193,5e-05,0.0,17.45915412902832
5,0.693736732006073,5e-05,0.0,17.82822608947754
6,0.6937072277069092,5e-05,0.0,21.72374725341797
7,0.693706214427948,5e-05,0.0,17.828702926635742
8,0.6936977505683899,5e-05,0.0,18.378496170043945
9,0.6936877965927124,5e-05,0.0,17.411231994628906
10,0.6937204599380493,5e-05,0.0,17.066478729248047
11,0.6937278509140015,5e-05,0.0,18.76235008239746
12,0.6937568187713623,5e-05,0.0,20.35689353942871
13,0.6936938762664795,5e-05,0.0,19.00482177734375
14,0.693688154220581,5e-05,0.0,19.479036331176758
15,0.6937247514724731,4.999996915749259e-05,0.0,35.98594665527344
16,0.6931387186050415,4.999996915749259e-05,0.0,18.499135971069336
17,0.6931390166282654,4.999996915749259e-05,0.0,18.106937408447266
18,0.6931577324867249,4.999996915749259e-05,0.0,18.194198608398438
19,0.6931324005126953,4.999996915749259e-05,0.0,18.790721893310547
20,0.6931138038635254,4.999996915749259e-05,0.0,18.178224563598633
21,0.6931288838386536,4.999996915749259e-05,0.0,17.949342727661133
22,0.6931384801864624,4.999996915749259e-05,0.0,18.338680267333984
23,0.693159282207489,4.999996915749259e-05,0.0,18.132448196411133
24,0.6931330561637878,4.999996915749259e-05,0.0,17.97199249267578
25,0.6931168437004089,4.999996915749259e-05,0.0,17.0290470123291
26,0.6931256651878357,4.999996915749259e-05,0.0,17.56763458251953
27,0.6931653022766113,4.999996915749259e-05,0.0,18.869876861572266
28,0.69312983751297,4.999996915749259e-05,0.0,19.09160614013672
29,0.693171501159668,4.999996915749259e-05,0.0,16.87002182006836
30,0.6931107640266418,4.999996915749259e-05,0.0,19.193649291992188
31,0.6931813359260559,4.999987663004646e-05,0.0,30.68852424621582
32,0.6925591230392456,4.999987663004646e-05,0.0,17.389297485351562
33,0.6925758719444275,4.999987663004646e-05,0.0,17.921924591064453
34,0.6925618648529053,4.999987663004646e-05,0.0,18.85199546813965
35,0.6925397515296936,4.999987663004646e-05,0.0,15.666723251342773
36,0.6925777196884155,4.999987663004646e-05,0.0,18.854379653930664
37,0.6925848722457886,4.999987663004646e-05,0.0,17.490148544311523
38,0.6925921440124512,4.999987663004646e-05,0.0,18.66888999938965
39,0.6925821304321289,4.999987663004646e-05,0.0,20.072460174560547
40,0.692546546459198,4.999987663004646e-05,0.0,15.762567520141602
41,0.6925607323646545,4.999987663004646e-05,0.0,16.887664794921875
42,0.692581295967102,4.999987663004646e-05,0.0,17.63010025024414
43,0.6925668120384216,4.999987663004646e-05,0.0,16.36338233947754
44,0.6925970911979675,4.999987663004646e-05,0.0,20.032644271850586
45,0.6925403475761414,4.999987663004646e-05,0.0,16.89624786376953
46,0.6925718188285828,4.999987663004646e-05,0.0,16.867637634277344
47,0.6925995945930481,4.999972241788991e-05,0.0,29.490947723388672
48,0.6920015811920166,4.999972241788991e-05,0.0,18.497705459594727
